cluster1,Cluster: Beverages,Cluster: Bitter Vegetables and Greens,Cluster: Condiments and Sauces,Cluster: Dairy and Alternatives,Cluster: Fermented Foods,Cluster: Grains and Grain Products,Cluster: Herbs and Spices,Cluster: Legumes,Cluster: Miscellaneous,Cluster: Mushrooms and Fungi,Cluster: Nuts and Seeds,Cluster: Oils and Fats,Cluster: Poultry and Game Birds,Cluster: Processed Foods and Snacks,Cluster: Seafood - Fish,Cluster: Seafood - Shellfish and Mollusks,Cluster: Sweet Fruits,Cluster: Umami-Rich Meats
Additive,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,76.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0
Bakery,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,50.0,0.0,0.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0
Berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.588235294117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.41176470588235,0.0
Beverage,33.33333333333333,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,25.0,0.0,8.333333333333332,0.0,0.0,8.333333333333332,0.0,0.0,8.333333333333332,0.0
Beverage Alcoholic,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0
Beverage Caffeinated,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabbage,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cereal,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dairy,0.0,0.0,0.0,56.25,0.0,0.0,0.0,0.0,37.5,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0
Dish,0.0,0.0,1.3157894736842104,5.263157894736842,0.0,3.9473684210526314,0.0,0.0,76.31578947368422,0.0,0.0,0.0,0.0,2.631578947368421,2.631578947368421,0.0,3.9473684210526314,3.9473684210526314
Essential Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9433962264150944,61.32075471698113,0.0,0.9433962264150944,0.0,0.0,0.0,36.79245283018868,0.0,0.0,0.0
Flower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357142857142857,73.21428571428571,0.0,5.357142857142857,0.0,0.0,0.0,0.0,0.0,16.071428571428573,0.0
Fruit Citrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0
Fungus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777777777779,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gourd,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herb,2.4390243902439024,0.0,0.0,0.0,0.0,2.4390243902439024,9.75609756097561,2.4390243902439024,82.92682926829268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Legume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maize,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037033,70.37037037037037,0.0,0.0,0.0,14.814814814814813,0.0,0.0,0.0,0.0,11.11111111111111
Nut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526315789473683,5.263157894736842,0.0,84.21052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plant,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.48648648648648,0.0,2.7027027027027026,5.405405405405405,0.0,0.0,0.0,0.0,0.0,2.7027027027027026
Plant Derivative,0.0,0.0,0.0,9.090909090909092,0.0,9.090909090909092,0.0,0.0,45.45454545454545,0.0,9.090909090909092,9.090909090909092,0.0,18.181818181818183,0.0,0.0,0.0,0.0
Seafood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.07407407407408,0.0,0.0,0.0,0.0,0.0,7.4074074074074066,18.51851851851852,0.0,0.0
Seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spice,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0,66.66666666666666,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetable,0.0,4.761904761904762,0.0,0.0,0.0,0.0,9.523809523809524,4.761904761904762,80.95238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
