cluster1,10: Oils and Fats,11: Baked Goods and Snacks,12: Prepared Dishes and Fast Foods,"13: Sauces, Condiments, and Spreads",14: Sweets and Desserts,15: Mushrooms and Fungi,16: Seaweed and Algae,17: Breakfast Foods,18: Beverages with Milk,19: Miscellaneous and Specialty Items,1: Meat and Poultry,2: Seafood,3: Fruits,4: Vegetables,5: Grains and Grain Products,"6: Legumes, Nuts, and Seeds",7: Dairy and Dairy Alternatives,8: Beverages,9: Herbs and Spices
Bakery,0.0,19.230769230769234,3.8461538461538463,0.0,19.230769230769234,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
Berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,66.66666666666666,0.0
Beverage Alcoholic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Beverage Caffeinated,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857142857143,0.0
Cabbage,0.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,25.0
Cereal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,94.44444444444444,0.0,0.0,0.0,0.0
Dairy,6.666666666666667,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
Dish,0.0,12.068965517241379,58.620689655172406,6.896551724137931,6.896551724137931,0.0,0.0,3.4482758620689653,0.0,1.7241379310344827,0.0,0.0,0.0,0.0,6.896551724137931,0.0,3.4482758620689653,0.0,0.0
Essential Oil,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666
Fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Fruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.36170212765957,6.382978723404255,0.0,2.127659574468085,0.0,0.0,2.127659574468085
Fruit Citrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Fungus,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gourd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0
Herb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.428571428571427,7.142857142857142,3.571428571428571,0.0,0.0,67.85714285714286
Legume,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,4.761904761904762,76.19047619047619,0.0,0.0,0.0
Maize,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0
Meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,0.0,91.66666666666666,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.411764705882355,41.17647058823529,0.0,23.52941176470588,0.0,5.88235294117647,0.0
Plant Derivative,16.666666666666664,8.333333333333332,0.0,41.66666666666667,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,16.666666666666664,0.0,0.0
Seafood,0.0,0.0,0.0,0.0,0.0,0.0,23.076923076923077,0.0,0.0,3.8461538461538463,0.0,73.07692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Spice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,18.75,0.0,0.0,0.0,0.0,75.0
Vegetable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,78.57142857142857,0.0,7.142857142857142,0.0,0.0,7.142857142857142
Vegetable Fruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Vegetable Root,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Vegetable Tuber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
