embedding_size,window_size,algorithm,n_clusters,noise_points,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,total_points,noise_percentage,clustered_points,clustered_percentage
50,2,K-means++ (n=10),10,0,0.63566396694638,1467543.8770417417,0.42085862866175,0.15180584857498886,0.3682796178678951,0.28669680702752776,0.5147605355984618,0.3682796178678951,0.42428086842362134,0.3952450552780257,0.40924859224966564,962,0.0,962,100.0
50,2,K-means++ (n=15),15,0,0.5911507711065486,2486882.857003883,0.3941219397609335,0.15537628637083079,0.36864589248361557,0.30689160995752185,0.46151409348366657,0.3686458924836156,0.4401748171374037,0.2849566189463575,0.34595308214528164,962,0.0,962,100.0
50,2,K-means++ (n=20),20,0,0.5908692839068737,3863399.7964093755,0.4063041762089775,0.1327243609975076,0.3674845526115454,0.3283767277365575,0.41716677349884596,0.3674845526115454,0.3519623207746729,0.22026610516855025,0.27095951913026156,962,0.0,962,100.0
50,2,K-means++ (n=25),25,0,0.557682225332906,4708252.961043708,0.46186155847216853,0.13463205371199743,0.3743562856369419,0.3484070442120175,0.4044819689076455,0.37435628563694184,0.32770038617628633,0.22451668365915486,0.2664684159801472,962,0.0,962,100.0
50,2,K-means++ (n=30),30,0,0.5329261062637926,5123816.885883874,0.528277663057305,0.1173448966926823,0.375251229723247,0.3628522256108399,0.38852758518270214,0.375251229723247,0.262072227138136,0.19868404583023333,0.22601784692845311,962,0.0,962,100.0
50,2,K-means++ (n=35),35,0,0.5229667466270053,5457403.748255901,0.5507693378849959,0.12366986832702716,0.3910113189423391,0.38846754290421687,0.3935886290464488,0.39101131894233904,0.23672270140136512,0.18919923729786703,0.21030968582182474,962,0.0,962,100.0
50,2,"Hierarchical (ward, n=10)",10,0,0.5800075182207699,1334725.759460051,0.42409632011370063,0.1520198528842955,0.36822191186563213,0.28793246353716506,0.5106024977785776,0.3682219118656322,0.4144639664129919,0.4091362028432111,0.41178285231944317,962,0.0,962,100.0
50,2,"Hierarchical (complete, n=10)",10,0,0.8006910793586695,881461.3373453416,0.3061750817595058,0.14969004097494362,0.3939902722305013,0.27127547432812676,0.719435994446441,0.39399027223050126,0.6111942664843688,0.39554177662668233,0.4802706085344792,962,0.0,962,100.0
50,2,"Hierarchical (average, n=10)",10,0,0.7981184888337274,818865.4675490288,0.3011246013654455,0.14973741475948563,0.39252323230452946,0.269047682174468,0.725464856274472,0.39252323230452946,0.5684453487354512,0.39045812154302717,0.46293315218195386,962,0.0,962,100.0
50,2,"Hierarchical (single, n=10)",10,0,0.7995606839962075,769951.4869499096,0.23623277994308953,0.1496751727496997,0.3909416811850014,0.2677002549028682,0.7244637707823622,0.3909416811850014,0.6174453487354512,0.3883989194838252,0.47684341178128115,962,0.0,962,100.0
50,2,"Hierarchical (ward, n=15)",15,0,0.5738956150748002,2191676.295705376,0.3821557008728513,0.15704287759539118,0.3738085399305833,0.3075838945618826,0.4763748930968575,0.3738085399305833,0.44327509494469614,0.28517864481665034,0.347071018946832,962,0.0,962,100.0
50,2,"Hierarchical (complete, n=15)",15,0,0.519099227790028,903663.2445348332,0.34072843184096324,0.1258712081849787,0.38991961797130564,0.29379926765089065,0.5795160138962556,0.3899196179713057,0.4708631922725882,0.258856132038853,0.3340622088805436,962,0.0,962,100.0
50,2,"Hierarchical (average, n=15)",15,0,0.613648375747325,727891.995577664,0.2752454460553472,0.15533305388084753,0.4009665101324449,0.2825449999612424,0.6902795129128821,0.4009665101324449,0.5060178970208944,0.272097728699729,0.3538968140712649,962,0.0,962,100.0
50,2,"Hierarchical (single, n=15)",15,0,0.7449957662855488,559018.4173653104,0.2347939298199936,0.14754126731814982,0.3912705719341645,0.2697118803859621,0.7123054355017561,0.39127057193416453,0.5987044572795427,0.30199299456374934,0.4014767701240721,962,0.0,962,100.0
50,2,"Hierarchical (ward, n=20)",20,0,0.5730427234006007,3622777.840639938,0.4107758295708993,0.1332457632830832,0.3698770917286748,0.3293762387902473,0.42173453071823463,0.3698770917286748,0.35184217429542025,0.2166075685831844,0.26813866609638826,962,0.0,962,100.0
50,2,"Hierarchical (complete, n=20)",20,0,0.6044225778483373,2352430.6793198013,0.3635143527346419,0.14835433875466314,0.3849490805701681,0.31618774531457583,0.4919288196332183,0.3849490805701681,0.36057251433246307,0.22156790690539047,0.2744743171016307,962,0.0,962,100.0
50,2,"Hierarchical (average, n=20)",20,0,0.6253834906860087,1519452.73591676,0.3157314340293952,0.18275372605378726,0.396484856085198,0.30723491184165175,0.5588183036110629,0.396484856085198,0.4572932435274242,0.23853521696179047,0.3135271097801432,962,0.0,962,100.0
50,2,"Hierarchical (single, n=20)",20,0,0.6116740132694346,415897.1226212338,0.23219414322805595,0.14754126731814982,0.39127057193416437,0.2697118803859621,0.7123054355017557,0.39127057193416437,0.5987044572795427,0.30199299456374934,0.4014767701240721,962,0.0,962,100.0
50,2,"Hierarchical (ward, n=25)",25,0,0.5236834117683137,4328885.553232163,0.451915506636065,0.13863313315700798,0.38099660936084895,0.3524445395911513,0.4145825762667355,0.380996609360849,0.32983744125539854,0.2285192128542386,0.2699858303497162,962,0.0,962,100.0
50,2,"Hierarchical (complete, n=25)",25,0,0.5654793150661851,3142209.270642956,0.3963182131286127,0.12646067669715622,0.3728067124595298,0.326969326507173,0.4335912861757445,0.3728067124595298,0.34992008248471046,0.20503776380950461,0.25856677837352465,962,0.0,962,100.0
