algorithm,n_clusters,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,fmi,vi,micro_precision,micro_recall,micro_f1,noise_points,noise_percentage,clustered_points,clustered_percentage,total_points_in_dataset,compared_points
"DBSCAN (cosine, eps=0.025, min_samples=2)",25,0.5906677604115562,2047.110852971943,0.5442623026123509,0.07505500388776426,0.3890461882279531,0.3280669959816014,0.4778698708255261,0.3890461882279531,0.22243704891656962,0.18732264765283635,0.20337528208842554,0.20548102573028895,3.1238911047422677,0.24669603524229075,0.24669603524229075,0.24669603524229075,86.0,12.591508052708638,597.0,87.40849194729137,683,681
"DBSCAN (cosine, eps=0.025, min_samples=3)",17,0.6766597606928972,2977.106461036745,0.6339592311076543,0.07512618084211993,0.3761302157663443,0.31010853333139277,0.4778675669112905,0.37613021576634437,0.2206266315834465,0.2524444416713809,0.2354655356317636,0.207807899411181,3.1188578152799122,0.24375917767988256,0.24375917767988256,0.24375917767988256,102.0,14.93411420204978,581.0,85.06588579795023,683,681
"DBSCAN (cosine, eps=0.025, min_samples=4)",14,0.6974485829960637,3580.08535303101,0.5614624332679004,0.07553935056181596,0.37262184683489175,0.30375699234120024,0.4818658151456326,0.37262184683489175,0.24090585210998405,0.2964888855612126,0.2658228769667082,0.2096267900660984,3.101083725121189,0.24082232011747431,0.24082232011747431,0.24082232011747431,112.0,16.398243045387993,571.0,83.601756954612,683,681
"DBSCAN (cosine, eps=0.025, min_samples=5)",13,0.7029682604866866,3818.3515496223677,0.5146787490688405,0.07464493001256793,0.3712026893375817,0.30065000584714485,0.4850212491686838,0.37120268933758166,0.2441770865386565,0.30576190119653734,0.27152121189356837,0.2095727357373712,3.088068380745101,0.2393538913362702,0.2393538913362702,0.2393538913362702,118.0,17.276720351390924,565.0,82.72327964860908,683,681
"DBSCAN (cosine, eps=0.05, min_samples=2)",14,0.613680332402699,3637.908028344786,0.5211901796909714,0.09526120576404161,0.38606044893731817,0.30676233204920406,0.5206480656489337,0.38606044893731817,0.3115224807871867,0.31341760673521685,0.31246717028386317,0.23580684309996086,2.9580019909536777,0.25844346549192365,0.25844346549192365,0.25844346549192365,52.0,7.613469985358712,631.0,92.3865300146413,683,681
"DBSCAN (cosine, eps=0.05, min_samples=3)",10,0.6274919875088796,5178.581710576651,0.6068630944538338,0.09501266808315918,0.3797798011796225,0.29858482307513895,0.5216273315712423,0.3797798011796225,0.3880900961783315,0.38614754180791916,0.38711638206853216,0.2362177304086684,2.9567043647449953,0.25697503671071953,0.25697503671071953,0.25697503671071953,60.0,8.784773060029282,623.0,91.21522693997072,683,681
"DBSCAN (cosine, eps=0.05, min_samples=4)",8,0.6583621806508188,6563.170405332258,0.5320052397831749,0.09490978504207206,0.376301912672378,0.29337058403844307,0.5245975218990143,0.37630191267237795,0.3278821966980439,0.4575635863476534,0.3820173385843364,0.23677779031223883,2.94836116570596,0.25844346549192365,0.25844346549192365,0.25844346549192365,67.0,9.809663250366032,616.0,90.19033674963397,683,681
"DBSCAN (cosine, eps=0.05, min_samples=5)",8,0.6596504208288955,6549.464413566919,0.5296764421930027,0.09427293520200544,0.37561631253649247,0.2928627530857322,0.5235564683783464,0.3756163125364925,0.3268270627339255,0.45608210486617196,0.38078484929698914,0.23602174930114708,2.9518710001287234,0.25697503671071953,0.25697503671071953,0.25697503671071953,68.0,9.956076134699854,615.0,90.04392386530014,683,681
"DBSCAN (cosine, eps=0.1, min_samples=2)",8,0.6125573676991974,6234.54953379923,0.5826391162907467,0.11746968753683074,0.3853179449241566,0.2951131101270366,0.5549428246918829,0.38531794492415655,0.32211041597144796,0.45490810067329984,0.3771612500803545,0.26856556509907165,2.8546044119665526,0.2701908957415565,0.2701908957415565,0.2701908957415565,34.0,4.978038067349927,649.0,95.02196193265007,683,681
"DBSCAN (cosine, eps=0.1, min_samples=3)",8,0.6125573676991974,6234.54953379923,0.5826391162907467,0.11746968753683074,0.3853179449241566,0.2951131101270366,0.5549428246918829,0.38531794492415655,0.32211041597144796,0.45490810067329984,0.3771612500803545,0.26856556509907165,2.8546044119665526,0.2701908957415565,0.2701908957415565,0.2701908957415565,34.0,4.978038067349927,649.0,95.02196193265007,683,681
