true,0,1,2,3,4,5,6,7,8,9
Additive,0.0,80.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,4.0
Animal Product,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakery,0.0,35.714285714285715,3.571428571428571,3.571428571428571,0.0,0.0,21.428571428571427,0.0,3.571428571428571,32.142857142857146
Berry,0.0,0.0,0.0,0.0,72.72727272727273,0.0,0.0,0.0,24.242424242424242,3.0303030303030303
Beverage,0.0,50.0,8.333333333333332,0.0,8.333333333333332,0.0,25.0,0.0,0.0,8.333333333333332
Beverage Alcoholic,0.0,73.33333333333333,0.0,0.0,0.0,0.0,20.0,6.666666666666667,0.0,0.0
Beverage Caffeinated,33.33333333333333,16.666666666666664,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.0,0.0,16.666666666666664
Cabbage,0.0,6.25,0.0,0.0,50.0,0.0,0.0,0.0,43.75,0.0
Cereal,0.0,4.761904761904762,0.0,4.761904761904762,19.047619047619047,0.0,0.0,0.0,57.14285714285714,14.285714285714285
Dairy,0.0,81.25,0.0,0.0,0.0,0.0,12.5,6.25,0.0,0.0
Dish,0.0,72.0,2.666666666666667,0.0,0.0,0.0,24.0,0.0,0.0,1.3333333333333335
Essential Oil,0.0,0.0,0.0,0.0,75.0,0.0,25.0,0.0,0.0,0.0
Fish,0.0,68.86792452830188,0.0,4.716981132075472,0.0,0.0,26.41509433962264,0.0,0.0,0.0
Flower,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,60.0,0.0
Fruit,0.0,0.0,0.0,0.0,44.44444444444444,0.0,0.0,0.0,55.55555555555556,0.0
Fruit Citrus,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,66.66666666666666,0.0
Fruit Essence,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Fruit-Berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Fungus,0.0,0.0,0.0,11.11111111111111,55.55555555555556,0.0,0.0,0.0,33.33333333333333,0.0
Gourd,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
Herb,0.0,2.4390243902439024,0.0,2.4390243902439024,63.41463414634146,0.0,0.0,0.0,31.70731707317073,0.0
Legume,0.0,0.0,0.0,0.0,65.0,0.0,5.0,0.0,30.0,0.0
Maize,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0
Meat,0.0,7.6923076923076925,0.0,0.0,0.0,88.46153846153845,3.8461538461538463,0.0,0.0,0.0
Nut,0.0,0.0,0.0,10.526315789473683,47.368421052631575,0.0,0.0,0.0,42.10526315789473,0.0
Plant,0.0,0.0,0.0,10.81081081081081,64.86486486486487,0.0,0.0,0.0,24.324324324324326,0.0
Plant Derivative,0.0,54.54545454545454,0.0,0.0,18.181818181818183,0.0,9.090909090909092,0.0,9.090909090909092,9.090909090909092
Seafood,0.0,33.33333333333333,0.0,22.22222222222222,0.0,0.0,44.44444444444444,0.0,0.0,0.0
Seed,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,66.66666666666666,0.0
Spice,0.0,0.0,0.0,0.0,46.666666666666664,0.0,0.0,0.0,53.333333333333336,0.0
Vegetable,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,50.0,5.0
Vegetable Root,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,83.33333333333334,0.0
Vegetable Stem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Vegetable Tuber,0.0,10.0,0.0,0.0,50.0,0.0,0.0,0.0,40.0,0.0
