,food_name,num_compounds
0,Abalone,1480
1,Abiyuch,5431
2,Acerola,5439
3,Acorn,5435
4,Acorn squash,3969
5,Adobo,31
6,Adzuki bean,5488
7,Agar,1507
8,Agave,5443
9,Akutaq,17
10,Alaska blackfish,6
11,Alaska blueberry,5441
12,Alaska pollock,60
13,Alaska wild rhubarb,5423
14,Albacore tuna,53
15,Albizia gummifera,3974
16,Alcoholic beverages,583
17,Alfalfa,5515
18,Allium,5503
19,Allspice,5520
20,Almond,5561
21,Alpine sweetvetch,5423
22,Amaranth,5613
23,American butterfish,1470
24,American cranberry,5533
25,American lobster,59
26,American pokeweed,5457
27,American shad,48
28,Anatidae,42503
29,Anchovy,76
30,Andean blackberry,5
31,Angelica,5435
32,Anguilliformes,76
33,Anise,5517
34,Annual wild rice,5587
35,Apple,5720
36,Apple cider,21
37,Apricot,5556
38,Arabica coffee,4465
39,Arctic blackberry,5425
40,Arepa,53
41,Arrowhead,5434
42,Arrowroot,5444
43,Ascidians,9
44,Asian pear,5526
45,Asparagus,5593
46,Atlantic cod,51
47,Atlantic croaker,48
48,Atlantic halibut,76
49,Atlantic herring,1480
50,Atlantic mackerel,48
51,Atlantic menhaden,19
52,Atlantic pollock,48
53,Atlantic salmon,49
54,Atlantic wolffish,76
55,Avocado,5540
56,Babassu palm,5437
57,Baby food,91
58,Bagel,4024
59,Baked beans,63
60,Baked potato,31
61,Bamboo shoots,5475
62,Banana,5504
63,Barley,5760
64,Bayberry,5421
65,Bean,5453
66,Bearded seal,58
67,Beech nut,5431
68,Beefalo,42442
69,Beer,334
70,Beluga whale,58
71,Berry wine,6
72,Beverages,108
73,Bilberry,5580
74,Biscuit,1515
75,Bison,42427
76,Bitter gourd,5515
77,"Bivalvia (Clam, Mussel, Oyster)",61
78,Black cabbage,5443
79,Black chokeberry,5467
80,Black crowberry,5437
81,Black elderberry,5550
82,Black huckleberry,5426
83,Black mulberry,5439
84,Black plum,3969
85,Black radish,5422
