,food_name,kmeans_cluster,dbscan_cluster
0,Abalone,3,-1
1,Abiyuch,0,-1
2,Acerola,0,-1
3,Acorn,0,-1
4,Acorn squash,2,0
5,Adobo,4,1
6,Adzuki bean,6,-1
7,Agar,3,-1
8,Agave,0,-1
9,Akutaq,4,-1
10,Alaska blackfish,4,-1
11,Alaska blueberry,0,-1
12,Alaska pollock,9,2
13,Alaska wild rhubarb,0,-1
14,Albacore tuna,9,-1
15,Albizia gummifera,2,-1
16,Alcoholic beverages,1,-1
17,Alfalfa,6,-1
18,Allium,6,-1
19,Allspice,0,-1
20,Almond,6,-1
21,Alpine sweetvetch,0,-1
22,Amaranth,6,-1
23,American butterfish,3,-1
24,American cranberry,6,-1
25,American lobster,9,-1
26,American pokeweed,0,-1
27,American shad,9,3
28,Anatidae,5,-1
29,Anchovy,9,4
30,Andean blackberry,4,-1
31,Angelica,0,-1
32,Anguilliformes,9,4
33,Anise,0,-1
34,Annual wild rice,0,-1
35,Apple,6,-1
36,Apple cider,4,-1
37,Apricot,6,-1
38,Arabica coffee,8,-1
39,Arctic blackberry,0,-1
40,Arepa,9,-1
41,Arrowhead,0,-1
42,Arrowroot,0,-1
43,Ascidians,4,-1
44,Asian pear,0,-1
45,Asparagus,6,-1
46,Atlantic cod,9,-1
47,Atlantic croaker,9,3
48,Atlantic halibut,9,4
49,Atlantic herring,3,-1
50,Atlantic mackerel,9,3
51,Atlantic menhaden,4,-1
52,Atlantic pollock,9,3
53,Atlantic salmon,9,-1
54,Atlantic wolffish,9,4
55,Avocado,6,-1
56,Babassu palm,0,-1
57,Baby food,1,-1
58,Bagel,8,-1
59,Baked beans,9,-1
60,Baked potato,4,5
61,Bamboo shoots,6,-1
62,Banana,6,-1
63,Barley,6,-1
64,Bayberry,0,6
65,Bean,0,-1
66,Bearded seal,9,7
67,Beech nut,0,-1
68,Beefalo,5,-1
69,Beer,1,-1
70,Beluga whale,9,7
71,Berry wine,4,-1
72,Beverages,4,-1
73,Bilberry,6,-1
74,Biscuit,3,-1
75,Bison,5,8
76,Bitter gourd,0,-1
77,"Bivalvia (Clam, Mussel, Oyster)",9,-1
78,Black cabbage,0,-1
79,Black chokeberry,0,-1
80,Black crowberry,0,-1
81,Black elderberry,0,-1
82,Black huckleberry,0,-1
83,Black mulberry,0,-1
84,Black plum,2,0
85,Black radish,0,9
86,Black raisin,2,0
87,Black raspberry,0,-1
88,Black salsify,6,-1
89,Black tea,6,-1
90,Black walnut,6,-1
91,Black-eyed pea,0,-1
92,Blackberry,8,-1
93,Blackcurrant,6,-1
94,Blue crab,9,-1
95,Blue mussel,9,-1
96,Blue whiting,9,10
97,Bluefish,4,11
98,Bog bilberry,0,-1
99,Borage,0,-1
100,Bowhead whale,4,-1
101,Boysenberry,0,-1
102,Brassicas,3,-1
103,Brazil nut,6,-1
104,Breadfruit,0,-1
105,Breadnut tree seed,0,-1
106,Breakfast cereal,3,-1
107,Breakfast sandwich,9,-1
108,Broad bean,0,-1
109,Broad whitefish,4,-1
110,Broccoli,6,-1
111,Brussel sprouts,6,-1
112,Buffalo,5,8
113,Buffalo currant,0,6
114,Bulgur,8,-1
115,Burbot,3,-1
116,Burdock,0,-1
117,Burrito,9,-1
118,Butter,1,-1
119,Butter substitute,4,1
120,Butterfat,9,3
121,Buttermilk,1,12
122,Butternut,0,-1
123,Butternut squash,0,-1
124,Cabbage,0,-1
125,Cake,9,-1
126,Calabash,0,-1
127,Canada blueberry,0,-1
128,Candy bar,4,-1
129,Cannellini bean,2,0
130,Canola,0,-1
131,Canola oil,4,-1
132,Cantaloupe melon,2,0
133,Cape gooseberry,2,0
134,Capers,0,-1
135,Caraway,6,-1
136,Cardamom,0,-1
137,Cardoon,0,-1
138,Carob,0,-1
139,Carp bream,9,10
140,Carrot,6,-1
141,Cascade huckleberry,0,13
142,Casein,9,4
143,Cashew nut,6,-1
144,Cassava,6,-1
145,Castanospermum australe,2,0
146,Catfish,9,-1
147,Catjang pea,0,-1
148,"Cattle (Beef, Veal)",5,-1
149,Cauliflower,6,-1
150,Celeriac,6,-1
151,Celery leaves,6,-1
152,Celery stalks,0,-1
153,Cereals and cereal products,3,-1
154,"Cetacea (Dolphin, Porpoise, Whale)",9,10
155,Ceylon cinnamon,0,-1
156,Channel catfish,9,-1
157,Chanterelle,6,-1
158,Charr,9,10
159,Chayote,6,-1
160,Cheese,1,-1
161,Cherimoya,6,-1
162,Cherry tomato,0,-1
163,Chervil,6,-1
164,Chestnut,6,-1
165,Chewing gum,9,-1
