Reorganized_Food,FlavorDB_Food
Star anise,Star Anise
Red beetroot,Beetroot
Rye bread,Rye Bread
Black tea,Black Tea
Pot marjoram,Marjoram
Eggs,Egg
Butternut squash,Butternutsquash
Pepper (C. baccatum),PepperC.baccatum
Red grape,Red Sage
Prickly pear,PricklyPear
Lemon balm,Lemon Balm
Hyssop,Hyssop Oil
Corn salad,Cornsalad
Chives,Chive
Brussel sprouts,Brussels Sprout
Mollusks,Mollusc
Blackcurrant,BlackCurrant
Kai-lan,Kai lan
Other cocoa product,Other meat product
Crisp bread,Crispbread
Cloves,Clove
White wine,White Wine
Star fruit,Starfruit
Small-leaf linden,Small leaf linden
Brazil nut,Brazil Nut
Sour cherry,Sour Cherry
Purple mangosteen,Purplemangosteen
Other fruit product,Other meat product
Yellow pond-lily,Yellow pond lily
Mentha,Mentha Oil
Greenland halibut/turbot,Greenland halibut
Skunk currant,Skunkcurrant
Canola oil,Canola Oil
Sweet orange,Sweetcorn
Common pea,Common Tuna
Margarine-like spread,Margarine like spread
Redcurrant,RedCurrant
Oat,Oats
Other vegetable product,Other meat product
Sweet basil,Sweet Grass
Malabar plum,Malabarplum
Green zucchini,Greenzucchini
Heart of palm,Heartofpalm
Mushrooms,Mushroom
Liquorice,Liqourice
Common persimmon,Commonpersimmon
Natal plum,Natalplum
Whole wheat bread,Wholewheat Bread
Japanese persimmon,Japanesepersimmon
Bean,Beans
Soybean oil,Soybean Oil
Mammee apple,Mammeeapple
Strawberry guava,Strawberry Jam
Welsh onion,Welshonion
Fishes,Fish
Macadamia nut,Macadamia Nut
Orange mint,Orange Oil
Common bean,Common Tuna
Lemon grass,Lemon Grass
Lima bean,Lima Beans
Port wine,Port Wine
Celeriac,Celery
Red wine,Red Wine
Wild celery,Wild Cherry
Winter squash,Wintersquash
Soy bean,Soybean
New Zealand spinach,NewZealandspinach
Pigeon pea,Pigeon Pea
Red champagne,Champagne
Rose hip,Rosehip
Green apple,Green Tea
Green tea,Green Tea
Japanese pumpkin,Japanesepumpkin
Soy sauce,Soybean Sauce
Broad bean,Brown bear
Other soy product,Other meat product
Sweet bay,Sweet Grass
Fish oil,Fish Oil
Red onion,Red Wine
Horned melon,Hornedmelon
Pepper (C. chinense),PepperC.chinense
Sweet potato,Sweet Potato
Yellow zucchini,Yellowzucchini
Wheat bread,Wheaten Bread
White bread,White Bread
Rosé wine,Rose Wine
Other cereal product,Other meat product
Canola,Canola Oil
Muskmelon,MuskMelon
Green bean,Green Tea
Green grape,Green Tea
Bitter gourd,Bittergourd
Crosne,Creosote
Muscadine grape,Muscadinegrape
Date,Dates
Buffalo currant,Buffalocurrant
Milk (Human),Milk Human
Malabar spinach,Malabarspinach
Common sage,Common Tuna
Passion fruit,Passionfruit
