Reorganized_Food,FlavorDB_Food,Similarity_Score,Source
Blackcurrant,Blackcurrant,1,Reorganized
Sour cherry,Sour cherry,1,Reorganized
Canola oil,Canola oil,1,Reorganized
Brazil nut,Brazil nut,1,Reorganized
Star anise,Star anise,1,Reorganized
Black tea,Black tea,1,Reorganized
Macadamia nut,Macadamia nut,1,Reorganized
Lemon grass,Lemon grass,1,Reorganized
Fish oil,Fish oil,1,Reorganized
Lemon balm,Lemon balm,1,Reorganized
Rye bread,Rye bread,1,Reorganized
White bread,White bread,1,Reorganized
Port wine,Port wine,1,Reorganized
White wine,White wine,1,Reorganized
Pigeon pea,Pigeon pea,1,Reorganized
Red wine,Red wine,1,Reorganized
Muskmelon,Muskmelon,1,Reorganized
Green tea,Green tea,1,Reorganized
Sweet potato,Sweet potato,1,Reorganized
Redcurrant,Redcurrant,1,Reorganized
Soybean oil,Soybean oil,1,Reorganized
Margarine-like spread,Margarine-like spread,0.952,Reorganized
Small-leaf linden,Small-leaf linden,0.941,Reorganized
Yellow pond-lily,Yellow pond-lily,0.938,Reorganized
Lima bean,Lima bean,0.9,Reorganized
Mushrooms,Mushrooms,0.889,Reorganized
Rosé wine,Rosé wine,0.889,Reorganized
Kai-lan,Kai lan,0.857,Reorganized
Cloves,Cloves,0.833,Reorganized
Chives,Chives,0.833,Reorganized
Black tea,Black bear,0.8,Reorganized
Green bean,Green tea,0.8,Reorganized
Bean,Bean,0.8,Reorganized
Date,Date,0.8,Reorganized
Liquorice,Liquorice,0.778,Reorganized
Oat,Oat,0.75,Reorganized
Mollusks,Molluscs,0.75,Reorganized
Eggs,Eggs,0.75,Reorganized
Wheat bread,White bread,0.727,Reorganized
Orange mint,Orange oil,0.727,Reorganized
Wild celery,Wild cherry,0.727,Reorganized
Greenland halibut/turbot,Greenland halibut/turbot,0.708,Reorganized
Broad bean,Brown bear,0.7,Reorganized
Strawberry guava,Strawberry wine,0.688,Reorganized
Strawberry guava,Strawberry jam,0.688,Reorganized
Blackcurrant,Skunk currant,0.667,Reorganized
Java plum,Nata lplum,0.667,Reorganized
Fishes,Fishes,0.667,Reorganized
Rose hip,Rose wine,0.667,Reorganized
Common wheat,Common tuna,0.667,Reorganized
Common thyme,Common tuna,0.667,Reorganized
Sea-buckthornberry,Sea-buckthornberry,0.667,Reorganized
Sweet orange,Sweet grass,0.667,Reorganized
Japanese walnut,Japanese whisky,0.667,Reorganized
Wax apple,Wood apple,0.667,Reorganized
Swiss chard,Swiss cheese,0.667,Reorganized
Lemon thyme,Lemon balm,0.636,Reorganized
Common pea,Common tuna,0.636,Reorganized
Common beet,Common tuna,0.636,Reorganized
Common sage,Common tuna,0.636,Reorganized
Green grape,Green tea,0.636,Reorganized
Soybean oil,Soy bean,0.636,Reorganized
Common bean,Common tuna,0.636,Reorganized
Wild carrot,Wild cherry,0.636,Reorganized
Japanese pumpkin,Japanese whisky,0.625,Reorganized
