cluster1,10: Oils and Fats,11: Baked Goods and Snacks,12: Prepared Dishes and Fast Foods,"13: Sauces, Condiments, and Spreads",14: Sweets and Desserts,15: Mushrooms and Fungi,16: Seaweed and Algae,17: Breakfast Foods,18: Beverages with Milk,19: Miscellaneous and Specialty Items,1: Meat and Poultry,2: Seafood,3: Fruits,4: Vegetables,5: Grains and Grain Products,"6: Legumes, Nuts, and Seeds",7: Dairy and Dairy Alternatives,8: Beverages,9: Herbs and Spices
Additive,15.789473684210526,0.0,5.263157894736842,26.31578947368421,5.263157894736842,0.0,10.526315789473683,0.0,0.0,21.052631578947366,0.0,10.526315789473683,0.0,0.0,0.0,0.0,0.0,5.263157894736842,0.0
Animal Product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakery,0.0,31.25,6.25,0.0,31.25,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0
Berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,66.66666666666666,0.0
Beverage Alcoholic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Beverage Caffeinated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333334,0.0
Cabbage,0.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,25.0
Cereal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,91.66666666666666,0.0,0.0,0.0,0.0
Dairy,6.25,0.0,0.0,0.0,12.5,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0
Dish,0.0,12.068965517241379,58.620689655172406,6.896551724137931,8.620689655172415,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,6.896551724137931,0.0,3.4482758620689653,0.0,0.0
Essential Oil,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666
Fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.87179487179486,2.564102564102564,0.0,2.564102564102564,0.0,0.0,0.0
Fruit Citrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit Essence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Fruit-Berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Fungus,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gourd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0
Herb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.25,6.25,0.0,0.0,62.5
Legume,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,7.6923076923076925,76.92307692307693,0.0,0.0,0.0
Maize,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
Meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.65217391304348,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,43.75,0.0,18.75,0.0,6.25,0.0
Plant Derivative,10.0,10.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0
Seafood,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Spice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,7.142857142857142,0.0,0.0,0.0,0.0,85.71428571428571
Vegetable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,81.81818181818183,0.0,0.0,0.0,0.0,9.090909090909092
Vegetable Root,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Vegetable Stem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Vegetable Tuber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
