Reorganized_from_chatgpt_Foods,Average_linkage_683_Foods
Whole wheat bread,Whole wheat bread
Olive,Olive
Cabbage,Cabbage
Rambutan,Rambutan
Durian,Durian
Spelt,Spelt
Vinegar,Vinegar
Bean,Bean
Ice cream,Ice cream
Akutaq,Akutaq
Mule deer,Mule deer
Northern pike,Northern pike
Horse,Horse
White wine,White wine
Gelatin,Gelatin
Egg roll,Egg roll
Triticale,Triticale
Yellowtail amberjack,Yellowtail amberjack
Pak choy,Pak choy
Emu,Emu
Abalone,Abalone
Wild rice,Wild rice
Scarlet bean,Scarlet bean
Deer,Deer
Blackberry,Blackberry
Coriander,Coriander
Yellowfin tuna,Yellowfin tuna
Meatloaf,Meatloaf
Tostada,Tostada
Teff,Teff
Quince,Quince
Soybean oil,Soybean oil
Coffee,Coffee
Safflower,Safflower
Cornbread,Cornbread
Rye bread,Rye bread
Chili,Chili
Canada blueberry,Canada blueberry
Mollusks,Mollusks
Arepa,Arepa
Butternut squash,Butternut squash
Common mushroom,Common mushroom
Rice bread,Rice bread
Radish,Radish
Atlantic herring,Atlantic herring
Pectin,Pectin
Pupusa,Pupusa
Cocoa powder,Cocoa powder
Remoulade,Remoulade
Oyster mushroom,Oyster mushroom
Agar,Agar
Shiitake,Shiitake
Tamale,Tamale
Broccoli,Broccoli
Whisky,Whisky
Jackfruit,Jackfruit
Pepper,Pepper
Leek,Leek
Breadfruit,Breadfruit
Kale,Kale
Cuttlefish,Cuttlefish
Tilefish,Tilefish
Lettuce,Lettuce
Green bean,Green bean
Chestnut,Chestnut
Pear,Pear
Cloves,Cloves
Popcorn,Popcorn
Green tea,Green tea
Toffee,Toffee
Rainbow smelt,Rainbow smelt
Chinese water chestnut,Chinese water chestnut
Pizza,Pizza
Barley,Barley
Meringue,Meringue
Chocolate,Chocolate
Lemon balm,Lemon balm
Charr,Charr
Cloud ear fungus,Cloud ear fungus
Pheasant,Pheasant
Bluefish,Bluefish
American butterfish,American butterfish
Horchata,Horchata
Chicory,Chicory
Soup,Soup
White bread,White bread
Jew's ear,Jew's ear
Crab,Crab
Globe artichoke,Globe artichoke
Black huckleberry,Black huckleberry
Horseradish,Horseradish
Haddock,Haddock
Mixed nuts,Mixed nuts
Loganberry,Loganberry
Atlantic wolffish,Atlantic wolffish
Frybread,Frybread
Peach,Peach
Okra,Okra
Ostrich,Ostrich
Hibiscus tea,Hibiscus tea
Soft drink,Soft drink
Marshmallow,Marshmallow
French toast,French toast
Couscous,Couscous
Ginger,Ginger
Eggs,Eggs
Turnip,Turnip
Longan,Longan
Walleye,Walleye
Fish burger,Fish burger
Japanese chestnut,Japanese chestnut
Coffee mocha,Coffee mocha
Date,Date
Ketchup,Ketchup
Kumquat,Kumquat
Gram bean,Gram bean
Vanilla,Vanilla
Baked potato,Baked potato
Babassu palm,Babassu palm
Natto,Natto
Cocoa bean,Cocoa bean
Tarragon,Tarragon
Caraway,Caraway
Rowanberry,Rowanberry
Burrito,Burrito
Endive,Endive
Jerusalem artichoke,Jerusalem artichoke
Pollock,Pollock
Cocoa butter,Cocoa butter
Sheefish,Sheefish
Channel catfish,Channel catfish
Walnut,Walnut
Gin,Gin
Malabar spinach,Malabar spinach
Chinese chestnut,Chinese chestnut
Greylag goose,Greylag goose
Black mulberry,Black mulberry
Dock,Dock
Hamburger,Hamburger
Japanese persimmon,Japanese persimmon
Painted comber,Painted comber
Wheat,Wheat
Sheepshead,Sheepshead
European chestnut,European chestnut
Beer,Beer
Pastry,Pastry
Canola oil,Canola oil
Pomegranate,Pomegranate
Margarine-like spread,Margarine-like spread
Rabbit,Rabbit
Lingonberry,Lingonberry
Allspice,Allspice
Soy yogurt,Soy yogurt
Zwieback,Zwieback
Persimmon,Persimmon
Soy cream,Soy cream
Shallot,Shallot
Pikeperch,Pikeperch
Anise,Anise
Oat bread,Oat bread
Shea tree,Shea tree
Bilberry,Bilberry
Lemon,Lemon
Apricot,Apricot
Milkshake,Milkshake
Mallard duck,Mallard duck
Rainbow trout,Rainbow trout
Cooking oil,Cooking oil
Bamboo shoots,Bamboo shoots
Chives,Chives
Multigrain bread,Multigrain bread
Margarine,Margarine
Watercress,Watercress
Hushpuppy,Hushpuppy
Bayberry,Bayberry
Papaya,Papaya
Devilfish,Devilfish
Flour,Flour
Avocado,Avocado
Ymer,Ymer
Mountain hare,Mountain hare
Relish,Relish
Gelatin dessert,Gelatin dessert
Empanada,Empanada
Common ling,Common ling
Red raspberry,Red raspberry
Anchovy,Anchovy
Abiyuch,Abiyuch
Adzuki bean,Adzuki bean
Tamarind,Tamarind
Yardlong bean,Yardlong bean
Mate,Mate
Loquat,Loquat
Peanut,Peanut
Chewing gum,Chewing gum
Adobo,Adobo
Cinnamon,Cinnamon
Milk (Cow),Milk (Cow)
Cake,Cake
Chervil,Chervil
Corn,Corn
Rose hip,Rose hip
Beech nut,Beech nut
Fudge,Fudge
Kiwi,Kiwi
Fruit juice,Fruit juice
Red king crab,Red king crab
Kefir,Kefir
Chayote,Chayote
Hard wheat,Hard wheat
Taro,Taro
Pacific sardine,Pacific sardine
Kelp,Kelp
Sea cucumber,Sea cucumber
Quesadilla,Quesadilla
Candy bar,Candy bar
Macaroni and cheese,Macaroni and cheese
Atlantic pollock,Atlantic pollock
Atlantic salmon,Atlantic salmon
Guinea hen,Guinea hen
Cardamom,Cardamom
Lemon grass,Lemon grass
Cardoon,Cardoon
Nopal,Nopal
Squab,Squab
Eggplant,Eggplant
Nutritional drink,Nutritional drink
Arrowroot,Arrowroot
Saskatoon berry,Saskatoon berry
Flaxseed,Flaxseed
Spirulina,Spirulina
Red algae,Red algae
Cloudberry,Cloudberry
Garlic,Garlic
Chanterelle,Chanterelle
Sea trout,Sea trout
Purple laver,Purple laver
Apple,Apple
Black salsify,Black salsify
Pacific jack mackerel,Pacific jack mackerel
Conch,Conch
Black raspberry,Black raspberry
Naranjilla,Naranjilla
Whey,Whey
Molasses,Molasses
Spinach,Spinach
Chocolate mousse,Chocolate mousse
Rock ptarmigan,Rock ptarmigan
Chimichanga,Chimichanga
Monkfish,Monkfish
Pistachio,Pistachio
Sherry,Sherry
White sucker,White sucker
Pie,Pie
Scallop,Scallop
Cassava,Cassava
Madeira wine,Madeira wine
Honey,Honey
Quail,Quail
Common carp,Common carp
Hyacinth bean,Hyacinth bean
Tofu,Tofu
Sockeye salmon,Sockeye salmon
Grape,Grape
Jicama,Jicama
Whiting,Whiting
Grass pea,Grass pea
Black tea,Black tea
Pudding,Pudding
Alfalfa,Alfalfa
Red wine,Red wine
Spiny lobster,Spiny lobster
Soy milk,Soy milk
Fennel,Fennel
Burdock,Burdock
Cumin,Cumin
Cream,Cream
Dumpling,Dumpling
Millet,Millet
Hazelnut,Hazelnut
Port wine,Port wine
Yam,Yam
Other bread product,Other bread product
Muskmelon,Muskmelon
Bitter gourd,Bitter gourd
Enokitake,Enokitake
Butter,Butter
Dragee,Dragee
Breadnut tree seed,Breadnut tree seed
Purslane,Purslane
Star anise,Star anise
Nutmeg,Nutmeg
Breakfast cereal,Breakfast cereal
Snail,Snail
Prickly pear,Prickly pear
Kombu,Kombu
Milk (Human),Milk (Human)
Dill,Dill
Rum,Rum
Semolina,Semolina
Chinook salmon,Chinook salmon
Oil-seed Camellia,Oil-seed Camellia
Arabica coffee,Arabica coffee
Star fruit,Star fruit
Jostaberry,Jostaberry
Yogurt,Yogurt
Lentils,Lentils
Hot chocolate,Hot chocolate
Wasabi,Wasabi
Gooseberry,Gooseberry
Taco,Taco
Chinese bayberry,Chinese bayberry
Lovage,Lovage
Jujube,Jujube
Yellow zucchini,Yellow zucchini
Quinoa,Quinoa
Winged bean,Winged bean
Northern bluefin tuna,Northern bluefin tuna
Red rice,Red rice
Mulberry,Mulberry
Saffron,Saffron
Rocket salad,Rocket salad
Wild boar,Wild boar
Leavening agent,Leavening agent
Common persimmon,Common persimmon
Rosemary,Rosemary
Lime,Lime
Nougat,Nougat
Turkey,Turkey
Maitake,Maitake
Potato bread,Potato bread
Black crowberry,Black crowberry
Pacific rockfish,Pacific rockfish
Sablefish,Sablefish
Guava,Guava
Lake trout,Lake trout
Bison,Bison
Atlantic halibut,Atlantic halibut
Coconut,Coconut
Sweet custard,Sweet custard
Cheese,Cheese
Pacific herring,Pacific herring
Chocolate spread,Chocolate spread
Tortilla,Tortilla
Amaranth,Amaranth
Mammee apple,Mammee apple
Cherimoya,Cherimoya
Flatfish,Flatfish
Boysenberry,Boysenberry
Grapefruit,Grapefruit
Salad dressing,Salad dressing
Blue whiting,Blue whiting
Topping,Topping
Atlantic croaker,Atlantic croaker
Potato,Potato
Pili nut,Pili nut
Piki bread,Piki bread
Spiny dogfish,Spiny dogfish
Dulce de leche,Dulce de leche
Shortening,Shortening
Broad whitefish,Broad whitefish
Crayfish,Crayfish
Irish moss,Irish moss
Cashew nut,Cashew nut
Winter savory,Winter savory
Fenugreek,Fenugreek
Condensed milk,Condensed milk
Parsnip,Parsnip
Vegetable juice,Vegetable juice
Mountain yam,Mountain yam
Cucumber,Cucumber
Kohlrabi,Kohlrabi
Medlar,Medlar
Hot dog,Hot dog
Catfish,Catfish
Soy bean,Soy bean
Stuffing,Stuffing
Catjang pea,Catjang pea
Sapodilla,Sapodilla
Cocktail,Cocktail
Elderberry,Elderberry
Asparagus,Asparagus
Carrot,Carrot
Bagel,Bagel
Summer savory,Summer savory
Lasagna,Lasagna
Stew,Stew
Ascidians,Ascidians
Miso,Miso
Yellow pond-lily,Yellow pond-lily
Salad,Salad
Alaska blackfish,Alaska blackfish
Sturgeon,Sturgeon
Acerola,Acerola
Berry wine,Berry wine
Banana,Banana
Mustard,Mustard
Syrup,Syrup
Macadamia nut,Macadamia nut
Pita bread,Pita bread
Rapini,Rapini
Rye,Rye
Elk,Elk
Common dab,Common dab
Wakame,Wakame
Winter squash,Winter squash
Tortilla chip,Tortilla chip
Turmeric,Turmeric
Pancake,Pancake
Burbot,Burbot
Mexican oregano,Mexican oregano
King mackerel,King mackerel
Chickpea,Chickpea
Whitefish,Whitefish
Sweet potato,Sweet potato
Strawberry,Strawberry
Whelk,Whelk
Snack bar,Snack bar
Beefalo,Beefalo
Mung bean,Mung bean
Chicken,Chicken
Mango,Mango
Lima bean,Lima bean
Pitanga,Pitanga
Scrapple,Scrapple
Pineapple,Pineapple
Bulgur,Bulgur
Ucuhuba,Ucuhuba
Squid,Squid
Feijoa,Feijoa
Meatball,Meatball
Peppermint,Peppermint
Nachos,Nachos
Spearmint,Spearmint
Evaporated milk,Evaporated milk
Falafel,Falafel
Groundcherry,Groundcherry
Annual wild rice,Annual wild rice
Vodka,Vodka
European rabbit,European rabbit
Vermouth,Vermouth
Muscadine grape,Muscadine grape
Tea,Tea
Albacore tuna,Albacore tuna
Ravioli,Ravioli
Atlantic menhaden,Atlantic menhaden
Lupine,Lupine
Shrimp,Shrimp
Fig,Fig
Nanking cherry,Nanking cherry
Atlantic mackerel,Atlantic mackerel
Hummus,Hummus
Pacific ocean perch,Pacific ocean perch
Waffle,Waffle
Almond,Almond
Brazil nut,Brazil nut
Smelt,Smelt
Coho salmon,Coho salmon
Buffalo,Buffalo
Raisin bread,Raisin bread
Sake,Sake
Water,Water
Arrowhead,Arrowhead
Biscuit,Biscuit
Cauliflower,Cauliflower
Black-eyed pea,Black-eyed pea
Parsley,Parsley
Jellyfish,Jellyfish
Sorghum,Sorghum
Oriental wheat,Oriental wheat
Climbing bean,Climbing bean
Nance,Nance
Passion fruit,Passion fruit
Pigeon pea,Pigeon pea
Moth bean,Moth bean
Lingcod,Lingcod
Crisp bread,Crisp bread
Pink salmon,Pink salmon
Buttermilk,Buttermilk
Pot pie,Pot pie
Celery,Other snack food
Sour cream,Casein
Plum,Deerberry
Oats,Brussel sprouts
Muffins,Salt
Cookies,Florida pompano
Blueberry,Lambsquarters
Olive oil,Trail mix
Sea-buckthorn,Walrus
Ucuhuba butter,Angelica
Corn oil,Chum salmon
Tapenade,Spirit
Peanut oil,Fruit salad
Sesame oil,Cusk
Kidney bean,Turbot
Octopus,Succotash
Lychee,Bowhead whale
Yeast,Nuts
Chocolate milk,Nuttall cockle
Lotus root,Skunk currant
Cupuaçu,Tartary buckwheat
Buckwheat,Spotted seal
Mayonnaise,Pummelo
Brussels sprouts,Small-leaf linden
Sorbet,Soursop
Thyme,North Pacific giant octopus
Peanut butter,Beluga whale
Beetroot,Norway haddock
Truffle,Malabar plum
Latte,Komatsuna
Rhubarb,Citrus
Tomato,Colorado pinyon
Salsa,Fishes
Trout,Natal plum
Sunflower seeds,Evening primrose
Shea butter,Ginkgo nuts
Sage,Corn salad
Pasta dishes,Phyllo dough
Dandelion greens,True seal
Chutney,Alpine sweetvetch
Salsify,Alaska pollock
Soybean,Ginseng
Breadsticks,Common salsify
Pesto,Lemon verbena
Cornmeal,Roe
Collard greens,Vegetarian food
Onion,Rowal
Sesame seeds,American pokeweed
Chia seeds,Leather chiton
Mustard greens,Ocean pout
Lard,Swamp cabbage
Granola bars,Cisco
Porridge,Greenthread tea
Pretzels,Freshwater eel
Cottonseed oil,Grouper
Omelette,Salmonberry
Pine nuts,Spanish mackerel
Swiss chard,Garfish
Rutabaga,Greenland halibut/turbot
Mint,Enchilada
Orange,Yautia
Tahini,Perciformes
Soy sauce,Spread
Noodles,Pasta
Pumpkin seeds,Buffalo currant
Celeriac,Dolphin fish
Zucchini,Fish oil
Crackers,Epazote
Coconut oil,Elliott's blueberry
Croissant,Pepper (C. baccatum)
Cowpea,Common octopus
Doughnuts,Blackcurrant
Barbecue sauce,Capers
Sherbet,Oat
Watermelon,Agave
Spaghetti,Fruit gum
Basil,Sugar substitute
Hot sauce,Sesbania flower
Oatmeal,Fireweed
Sandwich,Ringed seal
Horseradish sauce,Ostrich fern
Custard,Sunflower
Sunflower oil,Gefilte fish
Oregano,Thistle
Cocktail sauce,Heart of palm
Palm oil,Icing
Lobster,Bearded seal
Breadnut,Striped mullet
Safflower oil,Other fish product
Seaweed products,Silver linden
,Pie crust
,Tinda
,Meat bouillon
,Potato puffs
,Sorrel
,Oil palm
,Focaccia
,Cucurbita
,Norway pout
,Green zucchini
,Pepper (C. chinense)
,Narrowleaf cattail
,Sausage
,Tapioca pearl
,Alaska wild rhubarb
,Carob
,Lotus
,Borage
,Cupuacu
,"Clupeinae (Herring, Sardine, Sprat)"
,True sole
,Other pasta dish
,French plantain
,Pineappple sage
,Dandelion
,Allium
,Marzipan
,Sparkleberry
,Cold cut
,Common verbena
,Scup
,Cornmint
,Garland chrysanthemum
,Japanese pumpkin
,True frog
,Hedge mustard
,New Zealand spinach
,Rice
,Tea leaf willow
,Potato chip
,Sesame
,Anatidae
,Ice cream cone
,Prairie turnip
,Steller sea lion
,European anchovy
,Swordfish
,Butternut
,Jute
,Towel gourd
,Roselle
,Tree fern
,Squashberry
,Sauce
,Junket
,Common oregano
,Other dish
,Wonton wrapper
,Spot croaker
,Corn chip
,Sugar
,Potato gratin
,Cherry tomato
,Purple mangosteen
,Green turtle
,Carp bream
,Gadus (Common cod)
,Chia
,Giant butterbur
,Mexican groundcherry
,Gadiformes
,Rose wine
,Oregon yampah
,Liquorice
,Garden cress
,Orange roughy
,Welsh onion
,Cottonseed
,Pate
,Snapper
,White lupine
,Pan dulce
,Ohelo berry
,Shark
,Energy drink
,Corn grits
,Pumpkinseed sunfish
,Sourdock
,Sourdough
,Sour cherry
,Rice cake
,Kai-lan
,Greater sturgeon
,Other fermented milk
,Red onion
,Fruit preserve
,Other alcoholic beverage
,Milkfish
,Freshwater drum
,Striped bass
,Lemon sole
,Redcurrant
,American shad
,Linden
,Lumpsucker
,Horned melon
,Sago palm
,Breakfast sandwich
,Lichee
,Other frozen dessert
,Acorn
,Other sandwich
,Anguilliformes
