true,0,1,2,3,4,5,6,7,8,9
Additive,8.0,0.0,0.0,4.0,0.0,88.0,0.0,0.0,0.0,0.0
Animal Product,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Bakery,3.571428571428571,3.571428571428571,0.0,35.714285714285715,0.0,53.57142857142857,0.0,3.571428571428571,0.0,0.0
Berry,0.0,30.303030303030305,0.0,3.0303030303030303,0.0,0.0,66.66666666666666,0.0,0.0,0.0
Beverage,0.0,0.0,0.0,16.666666666666664,0.0,75.0,8.333333333333332,0.0,0.0,0.0
Beverage Alcoholic,0.0,0.0,6.666666666666667,0.0,0.0,80.0,0.0,13.333333333333334,0.0,0.0
Beverage Caffeinated,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,33.33333333333333,16.666666666666664
Cabbage,0.0,56.25,0.0,0.0,0.0,6.25,37.5,0.0,0.0,0.0
Cereal,4.761904761904762,71.42857142857143,0.0,14.285714285714285,0.0,4.761904761904762,4.761904761904762,0.0,0.0,0.0
Dairy,0.0,0.0,6.25,0.0,0.0,93.75,0.0,0.0,0.0,0.0
Dish,0.0,0.0,0.0,2.666666666666667,0.0,93.33333333333333,0.0,2.666666666666667,0.0,1.3333333333333335
Essential Oil,0.0,25.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0
Fish,4.716981132075472,0.0,0.0,0.0,0.0,89.62264150943396,0.0,5.660377358490567,0.0,0.0
Flower,0.0,80.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
Fruit,0.0,70.37037037037037,0.0,0.0,0.0,0.0,29.629629629629626,0.0,0.0,0.0
Fruit Citrus,16.666666666666664,66.66666666666666,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0
Fruit Essence,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit-Berry,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fungus,11.11111111111111,66.66666666666666,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0
Gourd,0.0,66.66666666666666,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0
Herb,2.4390243902439024,46.34146341463415,0.0,0.0,0.0,2.4390243902439024,48.78048780487805,0.0,0.0,0.0
Legume,0.0,60.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0
Maize,0.0,25.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0
Meat,0.0,0.0,0.0,0.0,88.46153846153845,11.538461538461538,0.0,0.0,0.0,0.0
Nut,10.526315789473683,63.1578947368421,0.0,0.0,0.0,0.0,26.31578947368421,0.0,0.0,0.0
Plant,10.81081081081081,37.83783783783784,0.0,0.0,0.0,0.0,51.35135135135135,0.0,0.0,0.0
Plant Derivative,0.0,18.181818181818183,0.0,9.090909090909092,0.0,63.63636363636363,9.090909090909092,0.0,0.0,0.0
Seafood,22.22222222222222,0.0,0.0,0.0,0.0,48.148148148148145,0.0,29.629629629629626,0.0,0.0
Seed,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spice,0.0,93.33333333333333,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0
Vegetable,0.0,65.0,0.0,5.0,0.0,0.0,30.0,0.0,0.0,0.0
Vegetable Root,0.0,83.33333333333334,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0
Vegetable Stem,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vegetable Tuber,0.0,60.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0
