true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Additive,56.00000000000001,0.0,0.0,8.0,0.0,0.0,24.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animal Product,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakery,14.285714285714285,3.571428571428571,0.0,3.571428571428571,0.0,0.0,21.428571428571427,0.0,0.0,7.142857142857142,17.857142857142858,0.0,0.0,0.0,0.0,0.0,3.571428571428571,28.57142857142857,0.0,0.0
Berry,0.0,15.151515151515152,0.0,0.0,0.0,54.54545454545454,0.0,0.0,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,18.181818181818183,9.090909090909092,0.0,0.0,0.0,0.0
Beverage,33.33333333333333,0.0,0.0,0.0,0.0,8.333333333333332,16.666666666666664,0.0,0.0,8.333333333333332,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,0.0
Beverage Alcoholic,46.666666666666664,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0,0.0,0.0,13.333333333333334,0.0,6.666666666666667,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0
Beverage Caffeinated,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664
Cabbage,6.25,18.75,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,25.0,0.0,0.0,0.0,0.0
Cereal,4.761904761904762,9.523809523809524,0.0,0.0,0.0,4.761904761904762,0.0,0.0,4.761904761904762,14.285714285714285,0.0,0.0,0.0,23.809523809523807,14.285714285714285,23.809523809523807,0.0,0.0,0.0,0.0
Dairy,62.5,0.0,0.0,0.0,0.0,0.0,18.75,6.25,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dish,26.666666666666668,0.0,1.3333333333333335,0.0,0.0,0.0,45.33333333333333,0.0,0.0,1.3333333333333335,21.333333333333336,0.0,0.0,0.0,0.0,0.0,2.666666666666667,1.3333333333333335,0.0,0.0
Essential Oil,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0
Fish,33.0188679245283,0.0,0.0,4.716981132075472,0.0,0.0,35.84905660377358,0.0,0.0,0.0,21.69811320754717,0.0,0.0,0.0,0.0,0.0,4.716981132075472,0.0,0.0,0.0
Flower,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0
Fruit,0.0,20.37037037037037,0.0,0.0,0.0,18.51851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8518518518518516,25.925925925925924,33.33333333333333,0.0,0.0,0.0,0.0
Fruit Citrus,0.0,33.33333333333333,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.0,0.0,0.0,0.0
Fruit Essence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Fruit-Berry,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fungus,0.0,11.11111111111111,0.0,11.11111111111111,0.0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,33.33333333333333,0.0,0.0,0.0,0.0,0.0
Gourd,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,33.33333333333333,0.0,0.0,0.0,0.0
Herb,2.4390243902439024,17.073170731707318,0.0,2.4390243902439024,0.0,34.146341463414636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82926829268293,17.073170731707318,0.0,0.0,0.0,0.0
Legume,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,45.0,10.0,5.0,0.0,0.0,0.0
Maize,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0
Meat,7.6923076923076925,0.0,0.0,0.0,57.692307692307686,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923076923077,0.0
Nut,0.0,21.052631578947366,0.0,10.526315789473683,0.0,26.31578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.789473684210526,26.31578947368421,0.0,0.0,0.0,0.0
Plant,0.0,16.216216216216218,0.0,8.108108108108109,0.0,29.72972972972973,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,35.13513513513514,8.108108108108109,0.0,0.0,0.0,0.0
Plant Derivative,54.54545454545454,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,9.090909090909092,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0
Seafood,14.814814814814813,0.0,0.0,22.22222222222222,0.0,0.0,18.51851851851852,0.0,0.0,0.0,18.51851851851852,0.0,0.0,0.0,0.0,0.0,25.925925925925924,0.0,0.0,0.0
Seed,0.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0
Spice,0.0,33.33333333333333,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,33.33333333333333,20.0,0.0,0.0,0.0,0.0
Vegetable,0.0,25.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,5.0,0.0,0.0
Vegetable Root,0.0,33.33333333333333,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.0,0.0
Vegetable Stem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Vegetable Tuber,0.0,30.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0
