Reorganized_Food,FlavorDB_Food,Similarity_Score,Source
Orange mint,Orange oil,0.727,Reorganized
Wild celery,Wild cherry,0.727,Reorganized
Broad bean,Brown bear,0.7,Reorganized
Strawberry guava,Strawberry wine,0.688,Reorganized
Strawberry guava,Strawberry jam,0.688,Reorganized
Sweet orange,Sweet grass,0.667,Reorganized
Japanese walnut,Japanese whisky,0.667,Reorganized
Sea-buckthornberry,Sea buckthorns,0.667,Reorganized
Common thyme,Common tuna,0.667,Reorganized
Swiss chard,Swiss cheese,0.667,Reorganized
Common wheat,Common tuna,0.667,Reorganized
Wax gourd,Ash gourd,0.667,Reorganized
Chinese chives,Chinese quince,0.643,Reorganized
Common sage,Common tuna,0.636,Reorganized
Sugar apple,Malay apple,0.636,Reorganized
Common bean,Common tuna,0.636,Reorganized
Wild carrot,Wild cherry,0.636,Reorganized
Common pea,Common tuna,0.636,Reorganized
Common beet,Common tuna,0.636,Reorganized
Celeriac,Valerian,0.625,Reorganized
Celeriac,Celery,0.625,Reorganized
Processed cheese,Provolone cheese,0.625,Reorganized
Calabash,Calamus,0.625,Reorganized
White mustard,White currant,0.615,Reorganized
White cabbage,White currant,0.615,Reorganized
Hyssop,Hyssop oil,0.6,Reorganized
Dried milk,Sheep milk,0.6,Reorganized
Black plum,Black bear,0.6,Reorganized
Chinese mustard,Chinese quince,0.6,Reorganized
Mentha,Mentha oil,0.6,Reorganized
Common grape,Common tuna,0.583,Reorganized
Sweet orange,Sweetcorn,0.583,Reorganized
Apple cider,Apple cider Vinegar,0.579,Reorganized
White mulberry,White pepper,0.571,Reorganized
Chinese cinnamon,Chinese quince,0.562,Reorganized
Chinese broccoli,Chinese quince,0.562,Reorganized
Brassicas,Trassi,0.556,Reorganized
Pecan nut,Pecans,0.556,Reorganized
Cracker,Cranberry,0.556,Reorganized
Wild leek,Wild cherry,0.545,Reorganized
Sweet bay,Sweet grass,0.545,Reorganized
Orange mint,Orange,0.545,Reorganized
Sweet basil,Sweet grass,0.545,Reorganized
Apple cider,Apple sauce,0.545,Reorganized
Blue crab,Blue cheese,0.545,Reorganized
Custard apple,Mustard oil,0.538,Reorganized
Common walnut,Common tuna,0.538,Reorganized
Salted butter,Peanut butter,0.538,Reorganized
Chinese cabbage,Chinese quince,0.533,Reorganized
Jalapeno pepper,Jalapeno,0.533,Reorganized
Mustard spinach,Mustard oil,0.533,Reorganized
Morchella (Morel),Morchella,0.529,Reorganized
Black radish,Black bear,0.5,Reorganized
Pine nut,Pine,0.5,Reorganized
Curry powder,Curry leaf,0.5,Reorganized
Poppy,Poppy seed,0.5,Reorganized
Broad bean,Polar bear,0.5,Reorganized
Black walnut,Black bear,0.5,Reorganized
Apple cider,Apple brandy,0.5,Reorganized
Other beverage,Other cheeses,0.5,Reorganized
Broad bean,Black bear,0.5,Reorganized
Common cabbage,Common tuna,0.5,Reorganized
White mulberry,White currant,0.5,Reorganized
Black raisin,Black bear,0.5,Reorganized
Mentha,Meat,0.5,Reorganized
Red tea,Red sage,0.5,Reorganized
Mentha,Mint,0.5,Reorganized
Sweet cherry,Sweet grass,0.5,Reorganized
Cichlidae (Tilapia),Cichlidae,0.474,Reorganized
White grape juice,White pepper,0.471,Reorganized
Common hazelnut,Common tuna,0.467,Reorganized
White champagne,White currant,0.467,Reorganized
Celery leaves,Celery,0.462,Reorganized
Celery stalks,Celery,0.462,Reorganized
Black cabbage,Black bear,0.462,Reorganized
Baked beans,Black bear,0.455,Reorganized
Blue mussel,Blue cheese,0.455,Reorganized
Red grape,Red sage,0.444,Reorganized
Grapefruit/Pummelo hybrid,Grapefruit peel oil,0.44,Reorganized
Sweet marjoram,Sweet grass,0.429,Reorganized
Sweet cherry,Sweetcorn,0.417,Reorganized
Mamey sapote,Malay apple,0.417,Reorganized
Black elderberry,Blackberry brandy,0.412,Reorganized
"Mandarin orange (Clementine, Tangerine)",Mandarin orange peel oil,0.41,Reorganized
Mikan,Mint,0.4,Reorganized
Wheat bread,Wheaten bread,0.385,Reorganized
Black elderberry,Black bear,0.375,Reorganized
Black chokeberry,Black bear,0.375,Reorganized
Other candy,Pear brandy,0.364,Reorganized
Sweet marjoram,Sweetcorn,0.357,Reorganized
Chineese plum,Chinese quince,0.357,Reorganized
Black chokeberry,Blackberry brandy,0.353,Reorganized
Other cereal product,Other meat product,0.35,Reorganized
Other soy product,Other meat product,0.333,Reorganized
Other bread,Other meat product,0.333,Reorganized
Lard,Laurel,0.333,Reorganized
Pulses,Peas,0.333,Reorganized
Crustaceans,Cluster bean,0.333,Reorganized
Hyssop,Hops,0.333,Reorganized
Other cocoa product,Other meat product,0.316,Reorganized
Other fruit product,Other meat product,0.316,Reorganized
Soy sauce,Soybean sauce,0.308,Reorganized
Red champagne,Red sage,0.308,Reorganized
Other vegetable product,Other meat product,0.304,Reorganized
Black raisin,Blackberry brandy,0.294,Reorganized
Black radish,Blackberry brandy,0.294,Reorganized
Canola,Calamus,0.286,Reorganized
Mikan,Milk fat,0.25,Reorganized
Processed cheese,Parmesan cheese,0.25,Reorganized
Crosne,Creosote,0.25,Reorganized
