Reorganized_Foods,FlavorDB_Foods
French toast,French toast
Cauliflower,Mastic gum
Jicama,Cauliflower
Atlantic halibut,Jicama
Alpine sweetvetch,Sweet grass
Shiitake,Achilleas
Domestic goat,Fatty fish
Saffron,Roibos tea
Lingonberry,Atlantic halibut
White mustard,Shiitake
Couscous,Alpine sweetvetch
Apricot,Black bear
Okra,Basil
Catfish,Moose
Mustard spinach,Saffron
Chili,Lingonberry
Sweet custard,Couscous
White grape juice,Apricot
Ohelo berry,Okra
Steller sea lion,Catfish
"Pleuronectidae (Dab, Halibut, Plaice)",Sweet custard
Chayote,Chili
Colorado pinyon,Ohelo berry
Sacred lotus,Steller sea lion
Smelt,Plum
Buffalo currant,Chayote
Fruits,Colorado pinyon
Buffalo,Smelt
Arrowhead,Buffalo currant
Common chokecherry,Buffalo
Pie filling,Arrowhead
Thornless blackberry,Chinese water chestnut
Black walnut,Cheese
Edible shell,Anguilliformes
Celery stalks,Ocean pout
Chinese water chestnut,Succotash
Anguilliformes,Whiting
Cheese,Soup
Ocean pout,Macadamia nut
Succotash,Mixed nuts
Whiting,Hibiscus tea
Soup,Meatloaf
Summer grape,Roquefort cheese
Macadamia nut,Sourdough
Mixed nuts,Mentha oil
Crosne,Grouper
Goji,Cluster bean
Red champagne,Vinegar
Meatloaf,Kombu
Hibiscus tea,Nutmeg
"Bivalvia (Clam, Mussel, Oyster)",Crayfish
Sourdough,Breakfast cereal
Grouper,True sole
Vinegar,Soybean oil
Kombu,Bagel
Nutmeg,Striped bass
Coffee substitute,Potato gratin
Crayfish,Sorghum
Cape gooseberry,Pomegranate
Breakfast cereal,Raisin
True sole,Common ling
Soybean oil,Rye
Bagel,Wasabi
Striped bass,Gelatin dessert
Sorghum,Candy bar
"Cow milk, pasteurized, vitamin D added, 3.25% fat",Other fish product
Pomegranate,Apple
Beverages,Citrus peel Oil
Broad bean,Chocolate
Common ling,Potato chip
Rye,Turkey berry
Wasabi,Channel catfish
Potato gratin,Hippoglossus
Candy bar,Turmeric
Gelatin dessert,Rice bread
Other fish product,Arepa
Apple,Great horned owl
Chocolate,Pumpkinseed sunfish
Coffee and coffee products,Millet
Potato chip,Truffle
Channel catfish,Nanking cherry
Turmeric,Alaska blackfish
Rice bread,Limburger cheese
Arepa,Rice cake
Pumpkinseed sunfish,Horned melon
Other candy,Rose wine
Millet,Anchovy
Chinese chives,Sheep milk
Horned melon,Salad
Nanking cherry,Dill
"Columbidae (Dove, Pigeon)",Guinea hen
Alaska blackfish,Strawberry wine
Rice cake,Scotch whisky
Thunnus,Cheddar cheese
Rose wine,Fireweed
Anchovy,Romano cheese
Salad,Pitanga
Dill,Flatfish
Guinea hen,Silver linden
Cichlidae (Tilapia),Cabbage
Fireweed,Poppy seed
Pacific salmon,Vanilla
Pitanga,Scallop
Silver linden,Malabar plum
Flatfish,Spotted seal
Cabbage,Vodka
Vanilla,Allium
Mugwort,Semolina
Malabar plum,Cisco
Wax gourd,Chocolate mousse
Scallop,Lovage
Spotted seal,Gadiformes
"Sheep (Mutton, Lamb)",Climbing bean
Vodka,Cottonseed
Allium,Sparkleberry
Cisco,Norway pout
Evergreen blackberry,Cream cheese
Semolina,Green tea
Climbing bean,Enchilada
Lovage,Other fermented milk
Peach (var.),Mate
"Cetacea (Dolphin, Porpoise, Whale)",Papaya
Cottonseed,Sweetcorn
Sparkleberry,Ascidians
Chocolate mousse,Mule deer
Egg substitute,Spiny lobster
Gadiformes,Brandy
Papaya,Rose apple
Green tea,Whey
Enchilada,Krill
Romaine lettuce,Goat cheese
Lard,Tea leaf willow
Norway pout,Sea buckthorns
Other fermented milk,Wine
True oyster,Medlar
Mate,Cumin
Ascidians,Cloudberry
Mule deer,Saskatoon berry
Marine mussel,Shea tree
Spiny lobster,Pleuronectidae
Whey,Red onion
Red huckleberry,Blackberry brandy
Tea leaf willow,Striped mullet
Medlar,Cinnamon
Cumin,Squashberry
Cloudberry,Lake trout
Saskatoon berry,Madeira wine
Pepper (Capsicum),Coriander
Herbal tea,Sugar substitute
Shea tree,Apple brandy
Tostada shell,Jostaberry
Red onion,Sapodilla
German camomile,Pacific sardine
Striped mullet,Corn grits
Cinnamon,Jerusalem artichoke
Squashberry,Camphor
Lake trout,Falafel
Coriander,Caribou
