Reorganized_from_chatgpt_Foods,Average_linkage_683_Foods
Olive,Olive
Cabbage,Cabbage
Whole wheat bread,Deerberry
Rambutan,Whole wheat bread
Durian,Rambutan
Sour cream,Durian
Spelt,Spelt
Vinegar,Vinegar
Oats,Bean
Bean,Ice cream
Ice cream,Akutaq
Akutaq,Mule deer
Mule deer,Northern pike
Northern pike,Horse
Horse,Gelatin
White wine,White wine
Olive oil,Egg roll
Gelatin,Triticale
Egg roll,Yellowtail amberjack
Triticale,Angelica
Yellowtail amberjack,Pak choy
Pak choy,Chum salmon
Peanut oil,Cusk
Kidney bean,Turbot
Emu,Emu
Yeast,Nuts
Abalone,Soursop
Wild rice,Abalone
Scarlet bean,Wild rice
Deer,Scarlet bean
Blackberry,Colorado pinyon
Coriander,Fishes
Yellowfin tuna,Deer
Meatloaf,Blackberry
Tostada,Coriander
Teff,Yellowfin tuna
Quince,Meatloaf
Peanut butter,Tostada
Safflower,Teff
Cornbread,Quince
Soybean oil,Safflower
Coffee,Cornbread
Rye bread,Coffee
Chili,Soybean oil
Canada blueberry,Rye bread
Mollusks,Chili
Arepa,Canada blueberry
Rhubarb,Mollusks
Butternut squash,Alpine sweetvetch
Common mushroom,Ginseng
Rice bread,Lemon verbena
Radish,Arepa
Atlantic herring,Leather chiton
Pectin,Swamp cabbage
Pupusa,Greenthread tea
Cocoa powder,Grouper
Tomato,Butternut squash
Remoulade,Common mushroom
Oyster mushroom,Rice bread
Sunflower seeds,Radish
Agar,Greenland halibut/turbot
Shiitake,Pectin
Tamale,Atlantic herring
Dandelion greens,Pupusa
Broccoli,Cocoa powder
Whisky,Remoulade
Jackfruit,Yautia
Pepper,Oyster mushroom
Leek,Pepper (C. baccatum)
Breadfruit,Agar
Soybean,Blackcurrant
Kale,Shiitake
Cuttlefish,Oat
Tilefish,Tamale
Lettuce,Agave
Green bean,Broccoli
Pear,Fireweed
Chestnut,Jackfruit
Cloves,Whisky
Collard greens,Pepper
Popcorn,Leek
Green tea,Breadfruit
Toffee,Gefilte fish
Rainbow smelt,Kale
Chinese water chestnut,Cuttlefish
Pizza,Silver linden
Barley,Tilefish
Meringue,Lettuce
Chocolate,Green bean
Lemon balm,Tinda
Charr,Potato puffs
Cloud ear fungus,Chestnut
Pheasant,Cloves
Bluefish,Pear
American butterfish,Popcorn
Horchata,Green tea
Chicory,Toffee
Soup,Rainbow smelt
Pretzels,Chinese water chestnut
White bread,Pizza
Jew's ear,Lotus
Crab,Borage
Globe artichoke,Barley
Black huckleberry,Meringue
Horseradish,Chocolate
Haddock,Lemon balm
Orange,Charr
Mixed nuts,Cloud ear fungus
Loganberry,French plantain
Pumpkin seeds,Pheasant
Atlantic wolffish,Bluefish
Frybread,American butterfish
Peach,Horchata
Okra,Chicory
Ostrich,Soup
Hibiscus tea,Garland chrysanthemum
Soft drink,Hedge mustard
Marshmallow,New Zealand spinach
French toast,Anatidae
Couscous,White bread
Ginger,Ice cream cone
Eggs,Jew's ear
Turnip,Crab
Longan,Globe artichoke
Walleye,European anchovy
Fish burger,Black huckleberry
Doughnuts,Horseradish
Japanese chestnut,Haddock
Coffee mocha,Mixed nuts
Watermelon,Loganberry
Sherbet,Potato gratin
Date,Atlantic wolffish
Ketchup,Frybread
Kumquat,Peach
Sandwich,Okra
Gram bean,Gadiformes
Vanilla,Ostrich
Baked potato,Hibiscus tea
Babassu palm,Soft drink
Natto,Marshmallow
Cocoa bean,Cottonseed
Tarragon,French toast
Caraway,Couscous
Rowanberry,Ginger
Burrito,Eggs
Endive,Turnip
Jerusalem artichoke,Longan
Pollock,Fish burger
Cocoa butter,Walleye
Sheefish,Pumpkinseed sunfish
Safflower oil,Sourdock
Channel catfish,Japanese chestnut
Seaweed products,Coffee mocha
Celery,Date
Walnut,Ketchup
Gin,Greater sturgeon
Malabar spinach,Kumquat
Chinese chestnut,Gram bean
Greylag goose,Vanilla
Black mulberry,Baked potato
Plum,Babassu palm
Dock,Natto
Hamburger,Cocoa bean
Cookies,Tarragon
Japanese persimmon,Caraway
Painted comber,Rowanberry
Ucuhuba butter,Burrito
Wheat,Endive
Sheepshead,Jerusalem artichoke
European chestnut,Pollock
Beer,Lichee
Sesame oil,Cocoa butter
Pastry,Sheefish
Canola oil,Other sandwich
Lychee,Channel catfish
Pomegranate,Walnut
Margarine-like spread,Gin
Rabbit,Chinese chestnut
Lingonberry,Malabar spinach
Allspice,Greylag goose
Soy yogurt,Black mulberry
Zwieback,Lambsquarters
Lotus root,Dock
Persimmon,Hamburger
Soy cream,Trail mix
Shallot,Japanese persimmon
Pikeperch,Painted comber
Buckwheat,Walrus
Oat bread,Wheat
Anise,Sheepshead
Shea tree,European chestnut
Bilberry,Beer
Lemon,Pastry
Apricot,Succotash
Milkshake,Bowhead whale
Mallard duck,Canola oil
Rainbow trout,Pomegranate
Cooking oil,Skunk currant
Beetroot,Tartary buckwheat
Bamboo shoots,Pummelo
Chives,Small-leaf linden
Truffle,Margarine-like spread
Multigrain bread,Rabbit
Margarine,Lingonberry
Watercress,Allspice
Hushpuppy,Malabar plum
Latte,Zwieback
Bayberry,Beluga whale
Papaya,Soy yogurt
Devilfish,Komatsuna
Flour,Soy cream
Avocado,Persimmon
Ymer,Anise
Mountain hare,Shallot
Relish,Pikeperch
Gelatin dessert,Oat bread
Empanada,Natal plum
Common ling,Evening primrose
Red raspberry,Shea tree
Anchovy,Bilberry
Abiyuch,Ginkgo nuts
Adzuki bean,Lemon
Tamarind,Apricot
Yardlong bean,Milkshake
Mate,Mallard duck
Loquat,Rainbow trout
Peanut,Cooking oil
Chewing gum,True seal
Adobo,Bamboo shoots
Cinnamon,Chives
Milk (Cow),Alaska pollock
Cake,Multigrain bread
Chervil,Margarine
Breadsticks,Roe
Pesto,Watercress
Corn,Hushpuppy
Cornmeal,Flour
Rose hip,Bayberry
Beech nut,Papaya
Fudge,Devilfish
Kiwi,Avocado
Fruit juice,Ymer
Red king crab,Mountain hare
Kefir,Gelatin dessert
Chayote,Enchilada
Hard wheat,Empanada
Taro,Relish
Pacific sardine,Common ling
Kelp,Pasta
