food_name,presence_cluster,embedding_cluster
Abalone,7,3
Abiyuch,4,0
Acerola,4,0
Acorn,4,0
Acorn squash,2,2
Adobo,5,4
Adzuki bean,4,6
Agar,7,3
Agave,4,0
Akutaq,5,4
Alaska blackfish,5,4
Alaska blueberry,4,0
Alaska pollock,5,9
Alaska wild rhubarb,4,0
Albacore tuna,5,9
Albizia gummifera,2,2
Alcoholic beverages,5,1
Alfalfa,4,6
Allium,4,6
Allspice,4,0
Almond,4,6
Alpine sweetvetch,4,0
Amaranth,4,6
American butterfish,7,3
American cranberry,4,6
American lobster,5,9
American pokeweed,4,0
American shad,5,9
Anatidae,1,5
Anchovy,5,9
Andean blackberry,5,4
Angelica,4,0
Anguilliformes,5,9
Anise,4,0
Annual wild rice,4,0
Apple,4,6
Apple cider,5,4
Apricot,4,6
Arabica coffee,2,8
Arctic blackberry,4,0
Arepa,5,9
Arrowhead,4,0
Arrowroot,4,0
Ascidians,5,4
Asian pear,4,0
Asparagus,4,6
Atlantic cod,5,9
Atlantic croaker,5,9
Atlantic halibut,5,9
Atlantic herring,7,3
Atlantic mackerel,5,9
Atlantic menhaden,5,4
Atlantic pollock,5,9
Atlantic salmon,5,9
Atlantic wolffish,5,9
Avocado,4,6
Babassu palm,4,0
Baby food,5,1
Bagel,2,8
Baked beans,5,9
Baked potato,5,4
Bamboo shoots,4,6
Banana,4,6
Barley,4,6
Bayberry,4,0
Bean,4,0
Bearded seal,5,9
Beech nut,4,0
Beefalo,1,5
Beer,5,1
Beluga whale,5,9
Berry wine,5,4
Beverages,5,4
Bilberry,4,6
Biscuit,7,3
Bison,1,5
Bitter gourd,4,0
"Bivalvia (Clam, Mussel, Oyster)",5,9
Black cabbage,4,0
Black chokeberry,4,0
Black crowberry,4,0
Black elderberry,4,0
Black huckleberry,4,0
Black mulberry,4,0
Black plum,2,2
Black radish,4,0
Black raisin,2,2
Black raspberry,4,0
Black salsify,4,6
Black tea,3,6
Black walnut,4,6
Black-eyed pea,4,0
Blackberry,2,8
Blackcurrant,4,6
Blue crab,5,9
Blue mussel,5,9
Blue whiting,5,9
Bluefish,5,4
Bog bilberry,4,0
Borage,4,0
Bowhead whale,5,4
Boysenberry,4,0
Brassicas,7,3
Brazil nut,4,6
Breadfruit,4,0
Breadnut tree seed,4,0
Breakfast cereal,7,3
Breakfast sandwich,5,9
Broad bean,4,0
Broad whitefish,5,4
Broccoli,4,6
Brussel sprouts,4,6
Buffalo,1,5
Buffalo currant,4,0
Bulgur,2,8
Burbot,7,3
Burdock,4,0
Burrito,5,9
Butter,5,1
Butter substitute,5,4
Butterfat,5,9
Buttermilk,5,1
Butternut,4,0
Butternut squash,4,0
Cabbage,4,0
Cake,5,9
Calabash,4,0
Canada blueberry,4,0
Candy bar,5,4
Cannellini bean,2,2
Canola,4,0
Canola oil,5,4
Cantaloupe melon,2,2
Cape gooseberry,2,2
Capers,4,0
Caraway,4,6
Cardamom,4,0
Cardoon,4,0
Carob,4,0
Carp bream,5,9
Carrot,4,6
Cascade huckleberry,4,0
Casein,5,9
Cashew nut,4,6
Cassava,4,6
Castanospermum australe,2,2
Catfish,5,9
Catjang pea,4,0
"Cattle (Beef, Veal)",1,5
Cauliflower,4,6
Celeriac,4,6
Celery leaves,4,6
Celery stalks,4,0
Cereals and cereal products,7,3
"Cetacea (Dolphin, Porpoise, Whale)",5,9
Ceylon cinnamon,4,0
Channel catfish,5,9
Chanterelle,4,6
Charr,5,9
Chayote,4,6
Cheese,5,1
Cherimoya,4,6
Cherry tomato,4,0
Chervil,4,6
Chestnut,4,6
Chewing gum,5,9
Chia,4,0
Chicken,1,5
Chickpea,4,6
Chicory,4,6
Chicory leaves,4,0
Chicory roots,4,0
Chili,5,9
Chimichanga,5,4
Chineese plum,2,2
Chinese bayberry,4,0
Chinese broccoli,4,0
Chinese cabbage,4,6
Chinese chestnut,4,0
Chinese chives,4,0
Chinese cinnamon,4,6
Chinese mustard,4,0
Chinese water chestnut,4,0
Chinook salmon,5,9
Chives,4,6
Chocolate,5,1
Chocolate mousse,5,4
Chocolate spread,5,9
Chum salmon,5,9
Cichlidae (Tilapia),5,9
Cinnamon,4,6
Cisco,5,9
Citrus,7,3
Clawed lobster,5,9
Clementine,2,2
Climbing bean,4,0
Cloud ear fungus,4,0
Cloudberry,4,0
Cloves,4,6
"Clupeinae (Herring, Sardine, Sprat)",5,9
Cocktail,5,4
Cocoa and cocoa products,5,4
Cocoa bean,7,3
Cocoa butter,5,1
Cocoa liquor,5,4
Cocoa powder,5,1
Coconut,4,6
Coffee,5,1
Coffee and coffee products,5,9
Coffee mocha,5,4
Coffee substitute,5,9
Coho salmon,5,9
Cold cut,5,1
Colorado pinyon,4,0
"Columbidae (Dove, Pigeon)",1,5
Common bean,4,6
Common beet,4,0
Common buckwheat,4,6
Common cabbage,4,6
Common carp,5,9
Common chokecherry,4,0
Common dab,5,9
Common grape,4,6
Common hazelnut,4,0
Common ling,5,9
Common mushroom,4,6
Common octopus,5,1
Common oregano,4,6
Common pea,4,6
Common persimmon,4,0
Common sage,4,6
Common salsify,4,0
Common thyme,4,6
Common verbena,4,0
Common walnut,4,6
Common wheat,4,6
Conch,7,3
Condensed milk,5,9
Cooking oil,5,9
Coriander,4,6
Corn,4,6
Corn chip,5,9
Corn grits,5,9
Corn salad,4,0
Cornbread,2,8
Cornmint,4,0
Cottonseed,4,6
Couscous,5,9
